,park_name,scientific_name,common_names,category,observations,genus,conservation_status
24,Bryce National Park,Acer rubrum var. trilobum,Trident Maple,Vascular Plant,99,Acer,
25,Bryce National Park,Acer saccharinum,Silver Maple,Vascular Plant,121,Acer,
26,Bryce National Park,Acer saccharum,Sugar Maple,Vascular Plant,124,Acer,
27,Bryce National Park,Acer spicatum,Mountain Maple,Vascular Plant,89,Acer,
28,Bryce National Park,Achillea millefolium,Bloodwort,Vascular Plant,99,Achillea,
29,Bryce National Park,Achillea millefolium var. occidentalis,Yarrow,Vascular Plant,119,Achillea,Species of Concern
30,Bryce National Park,Achnatherum X bloomeri,Achnatherum,Vascular Plant,91,Achnatherum,Species of Concern
31,Bryce National Park,Achnatherum contractum,Contracted Ricegrass,Vascular Plant,122,Achnatherum,
32,Bryce National Park,Achnatherum hymenoides,Indian Ricegrass,Vascular Plant,90,Achnatherum,
33,Bryce National Park,Achnatherum latiglume,Sierra Needlegrass,Vascular Plant,92,Achnatherum,Species of Concern
34,Bryce National Park,Achnatherum lemmonii,Lemmon's Needlegrass,Vascular Plant,87,Achnatherum,Endangered
35,Bryce National Park,Achnatherum lettermanii,Letterman Needlegrass,Vascular Plant,63,Achnatherum,Species of Concern
36,Bryce National Park,Achnatherum nelsonii ssp. dorei,Columbia Needlegrass,Vascular Plant,101,Achnatherum,Species of Concern
37,Bryce National Park,Achnatherum nevadense,Nevada Needlegrass,Vascular Plant,74,Achnatherum,Species of Concern
38,Bryce National Park,Achnatherum occidentale,Western Needlegrass,Vascular Plant,106,Achnatherum,Threatened
39,Bryce National Park,Achnatherum occidentale ssp. californicum,California Needlegrass,Vascular Plant,77,Achnatherum,Endangered
40,Bryce National Park,Achnatherum occidentale ssp. occidentale,Western Needlegrass,Vascular Plant,122,Achnatherum,
41,Bryce National Park,Achnatherum occidentale ssp. pubescens,Elmer's Needlegrass,Vascular Plant,58,Achnatherum,
42,Bryce National Park,Achnatherum pinetorum,Pine Needlegrass,Vascular Plant,101,Achnatherum,
43,Bryce National Park,Achnatherum richardsonii,Richardson Needlegrass,Vascular Plant,76,Achnatherum,
44,Bryce National Park,Achnatherum thurberianum,Thurber's Needlegrass,Vascular Plant,71,Achnatherum,
45,Bryce National Park,Aconitum columbianum,Columbian Monkshood,Vascular Plant,63,Aconitum,
46,Bryce National Park,Aconitum columbianum ssp. columbianum,Columbian Monkshood,Vascular Plant,112,Aconitum,
47,Bryce National Park,Aconitum uncinatum,Monk's Hood,Vascular Plant,115,Aconitum,
48,Bryce National Park,Acorus calamus,Sweetflag,Vascular Plant,121,Acorus,
49,Bryce National Park,Acris crepitans crepitans,Northern Cricket Frog,Amphibian,112,Acris,
50,Bryce National Park,Acrobolbus ciliatus,Acrobolbus,Nonvascular Plant,114,Acrobolbus,
51,Bryce National Park,Actaea pachypoda,White Baneberry,Vascular Plant,92,Actaea,
52,Bryce National Park,Actaea rubra,Red Baneberry,Vascular Plant,141,Actaea,
53,Bryce National Park,Actitis macularia,Spotted Sandpiper,Bird,91,Actitis,
54,Bryce National Park,Actitis macularius,Spotted Sandpiper,Bird,86,Actitis,
55,Bryce National Park,Adenocaulon bicolor,American Trailplant,Vascular Plant,123,Adenocaulon,
56,Bryce National Park,Adenostoma fasciculatum,Chamise,Vascular Plant,128,Adenostoma,
57,Bryce National Park,Adiantum aleuticum,Aleutian Maidenhair,Vascular Plant,114,Adiantum,
58,Bryce National Park,Adiantum jordanii,California Maidenhair,Vascular Plant,93,Adiantum,
59,Bryce National Park,Adiantum pedatum,Northern Maiden-Hair Fern,Vascular Plant,94,Adiantum,
60,Bryce National Park,Adlumia fungosa,Climbing Fumitory,Vascular Plant,69,Adlumia,
61,Bryce National Park,Adoxa moschatellina,Muskroot,Vascular Plant,121,Adoxa,
62,Bryce National Park,Aechmophorus clarkii,Clark's Grebe,Bird,99,Aechmophorus,
63,Bryce National Park,Aechmophorus occidentalis,Western Grebe,Bird,80,Aechmophorus,
64,Bryce National Park,Aegilops cylindrica,Jointed Goatgrass,Vascular Plant,76,Aegilops,
65,Bryce National Park,Aegolius,Saw-Whet Owls,Bird,95,Aegolius,
66,Bryce National Park,Aegolius acadicus,Northern Saw-Whet Owl,Bird,131,Aegolius,
67,Bryce National Park,Aegolius funereus,Boreal Owl,Bird,73,Aegolius,
68,Bryce National Park,Aegopodium podagraria,Bishops Goutweed,Vascular Plant,112,Aegopodium,
69,Bryce National Park,Aeronautes saxatalis,White-Throated Swift,Bird,95,Aeronautes,
70,Bryce National Park,Aesculus californica,California Buckeye,Vascular Plant,108,Aesculus,
71,Bryce National Park,Aesculus flava,Yellow Buckeye,Vascular Plant,117,Aesculus,
72,Bryce National Park,Aesculus glabra,Ohio Buckeye,Vascular Plant,76,Aesculus,Endangered
73,Bryce National Park,Aesculus pavia,Red Buckeye,Vascular Plant,133,Aesculus,
74,Bryce National Park,Aesculus sylvatica,Painted Buckeye,Vascular Plant,100,Aesculus,
75,Bryce National Park,Agalinis purpurea,Large-Purple False-Foxglove,Vascular Plant,91,Agalinis,
76,Bryce National Park,Agalinis setacea,Narrow-Leaved Gerardia,Vascular Plant,116,Agalinis,
77,Bryce National Park,Agalinis tenuifolia,Slender False-Foxglove,Vascular Plant,73,Agalinis,
78,Bryce National Park,Agastache nepetoides,Giant Hyssop,Vascular Plant,106,Agastache,
79,Bryce National Park,Agastache scrophulariifolia,Giant Hyssop,Vascular Plant,116,Agastache,
80,Bryce National Park,Agastache urticifolia,Horsemint Giant Hyssop,Vascular Plant,95,Agastache,
81,Bryce National Park,Agelaius phoeniceus,Red-Winged Blackbird,Bird,97,Agelaius,
82,Bryce National Park,Ageratina altissima,White Snakeroot,Vascular Plant,94,Ageratina,
83,Bryce National Park,Ageratina altissima var. altissima,White Snakeroot,Vascular Plant,120,Ageratina,
84,Bryce National Park,Ageratina altissima var. roanensis,White Snakeroot,Vascular Plant,96,Ageratina,
85,Bryce National Park,Ageratina aromatica var. aromatica,Lesser Snakeroot,Vascular Plant,110,Ageratina,
86,Bryce National Park,Ageratina occidentalis,Western Eupatorium,Vascular Plant,89,Ageratina,
87,Bryce National Park,Agkistrodon contortrix mokasen,Northern Copperhead,Reptile,101,Agkistrodon,
88,Bryce National Park,Agoseris aurantiaca,Orange Agoseris,Vascular Plant,111,Agoseris,
89,Bryce National Park,Agoseris elata,Tall Agoseris,Vascular Plant,114,Agoseris,
90,Bryce National Park,Agoseris glauca var. dasycephala,Pale Agoseris,Vascular Plant,114,Agoseris,
91,Bryce National Park,Agoseris glauca var. glauca,Pale Agoseris,Vascular Plant,100,Agoseris,Species of Concern
92,Bryce National Park,Agoseris glauca var. laciniata,Arizona Mountain Dandelion,Vascular Plant,120,Agoseris,
93,Bryce National Park,Agoseris glauca var. monticola,Pale Agoseris,Vascular Plant,61,Agoseris,Species of Concern
94,Bryce National Park,Agoseris grandiflora,Bigflower Agoseris,Vascular Plant,107,Agoseris,Species of Concern
95,Bryce National Park,Agoseris heterophylla,Annual Agoseris,Vascular Plant,120,Agoseris,
96,Bryce National Park,Agoseris lackschewitzii,Mill Creek Agoseris,Vascular Plant,94,Agoseris,Species of Concern
97,Bryce National Park,Agoseris retrorsa,Spearleaf Agoseris,Vascular Plant,124,Agoseris,
98,Bryce National Park,Agrimonia gryposepala,Large-Fruited Agrimony,Vascular Plant,80,Agrimonia,Species of Concern
99,Bryce National Park,Agrimonia microcarpa,Smallfruit Agrimony,Vascular Plant,101,Agrimonia,Species of Concern
100,Bryce National Park,Agrimonia parviflora,Small-Flower Groovebur,Vascular Plant,105,Agrimonia,In Recovery
101,Bryce National Park,Agrimonia pubescens,Hairy Agrimony,Vascular Plant,117,Agrimonia,
102,Bryce National Park,Agrimonia rostellata,Beaked Agrimony,Vascular Plant,101,Agrimonia,Species of Concern
103,Bryce National Park,Agrostemma githago,Common Corncockle,Vascular Plant,92,Agrostemma,
104,Bryce National Park,Agrostis capillaris,Colonial Bent,Vascular Plant,208,Agrostis,Species of Concern
105,Bryce National Park,Agrostis capillaris,Rhode Island Bent,Vascular Plant,208,Agrostis,
106,Bryce National Park,Agrostis elliottiana,Elliott Bentgrass,Vascular Plant,74,Agrostis,
107,Bryce National Park,Agrostis exarata,Spike Bentgrass,Vascular Plant,105,Agrostis,
108,Bryce National Park,Agrostis gigantea,Black Bent,Vascular Plant,220,Agrostis,
109,Bryce National Park,Agrostis gigantea,Redtop,Vascular Plant,220,Agrostis,
110,Bryce National Park,Agrostis humilis,Alpine Bentgrass,Vascular Plant,108,Agrostis,
111,Bryce National Park,Agrostis hyemalis,Hairgrass,Vascular Plant,64,Agrostis,
112,Bryce National Park,Agrostis idahoensis,Idaho Bentgrass,Vascular Plant,91,Agrostis,
113,Bryce National Park,Agrostis mertensii,Arctic Bentgrass,Vascular Plant,162,Agrostis,Species of Concern
114,Bryce National Park,Agrostis mertensii,Northern Agrostis,Vascular Plant,162,Agrostis,
115,Bryce National Park,Agrostis oregonensis,Oregon Bentgrass,Vascular Plant,87,Agrostis,
116,Bryce National Park,Agrostis pallens,Seashore Bentgrass,Vascular Plant,77,Agrostis,
117,Bryce National Park,Agrostis perennans,Perenial Bentgrass,Vascular Plant,134,Agrostis,
118,Bryce National Park,Agrostis rossiae,Mountain Bentgrass,Vascular Plant,107,Agrostis,
119,Bryce National Park,Agrostis scabra,Rough Bent,Vascular Plant,178,Agrostis,
120,Bryce National Park,Agrostis scabra,Rough Bentgrass,Vascular Plant,178,Agrostis,
121,Bryce National Park,Agrostis scabra var. scabra,Rough Bentgrass,Vascular Plant,92,Agrostis,
122,Bryce National Park,Agrostis stolonifera,Carpet Bentgrass,Vascular Plant,182,Agrostis,
123,Bryce National Park,Agrostis stolonifera,Creeping Bentgrass,Vascular Plant,182,Agrostis,
124,Bryce National Park,Agrostis thurberiana,Thurber's Bentgrass,Vascular Plant,105,Agrostis,
125,Bryce National Park,Agrostis variabilis,Mountain Bentgrass,Vascular Plant,196,Agrostis,
126,Bryce National Park,Agrostis variabilis,Mountain Bentgrass,Vascular Plant,196,Agrostis,
127,Bryce National Park,Ailanthus altissima,Tree-Of-Heaven,Vascular Plant,73,Ailanthus,
128,Bryce National Park,Aimophila aestivalis,Bachman's Sparrow,Bird,94,Aimophila,
129,Bryce National Park,Aimophila ruficeps,Rufous-Crowned Sparrow,Bird,82,Aimophila,
130,Bryce National Park,Aira caryophyllea,Silver Hairgrass,Vascular Plant,96,Aira,
131,Bryce National Park,Aix sponsa,Wood Duck,Bird,95,Aix,
132,Bryce National Park,Ajuga reptans,Bugleweed,Vascular Plant,91,Ajuga,
133,Bryce National Park,Albizia julibrissin,Mimosa,Vascular Plant,71,Albizia,
134,Bryce National Park,Alcea rosea,Hollyhock,Vascular Plant,108,Alcea,
135,Bryce National Park,Alces alces,Eurasian Elk,Mammal,101,Alces,
136,Bryce National Park,Alces alces shirasi,Yellowstone Moose,Mammal,81,Alces,
137,Bryce National Park,Alectoris chukar,Chukar,Bird,229,Alectoris,Species of Concern
138,Bryce National Park,Alectoris chukar,Chukar,Bird,229,Alectoris,
139,Bryce National Park,Aletris farinosa,Colic Root,Vascular Plant,79,Aletris,Species of Concern
140,Bryce National Park,Alisma plantago-aquatica,American Waterplantain,Vascular Plant,97,Alisma,
141,Bryce National Park,Alisma subcordatum,Water-Plantain,Vascular Plant,86,Alisma,
142,Bryce National Park,Alisma triviale,Northern Water Plantain,Vascular Plant,87,Alisma,
143,Bryce National Park,Alliaria petiolata,Garlic Mustard,Vascular Plant,99,Alliaria,
144,Bryce National Park,Allium ampeloprasum,Garlic,Vascular Plant,121,Allium,
145,Bryce National Park,Allium amplectens,Narrowleaf Onion,Vascular Plant,96,Allium,
146,Bryce National Park,Allium bisceptrum var. bisceptrum,Twincrest Onion,Vascular Plant,105,Allium,
147,Bryce National Park,Allium brandegeei,Brandegee's Onion,Vascular Plant,104,Allium,
148,Bryce National Park,Allium brevistylum,Shortstyle Onion,Vascular Plant,110,Allium,
149,Bryce National Park,Allium burdickii,White-Stemmed Ramps,Vascular Plant,98,Allium,
150,Bryce National Park,Allium campanulatum,Dusky Onion,Vascular Plant,136,Allium,
151,Bryce National Park,Allium canadense,Meadow Onion,Vascular Plant,90,Allium,
152,Bryce National Park,Allium cernuum,Nodding Onion,Vascular Plant,112,Allium,
153,Bryce National Park,Allium cernuum var. cernuum,Nodding Onion,Vascular Plant,112,Allium,
154,Bryce National Park,Allium geyeri var. tenerum,Bulbil Onion,Vascular Plant,73,Allium,
155,Bryce National Park,Allium hyalinum,Glassy Onion,Vascular Plant,106,Allium,
156,Bryce National Park,Allium obtusum,Red Sierra Onion,Vascular Plant,127,Allium,
157,Bryce National Park,Allium obtusum var. conspicuum,Red Sierra Onion,Vascular Plant,113,Allium,
158,Bryce National Park,Allium obtusum var. obtusum,Red Sierra Onion,Vascular Plant,108,Allium,
159,Bryce National Park,Allium schoenoprasum,Wild Chive,Vascular Plant,95,Allium,
160,Bryce National Park,Allium textile,Prairie Onion,Vascular Plant,105,Allium,
161,Bryce National Park,Allium tribracteatum,Threebract Onion,Vascular Plant,125,Allium,
162,Bryce National Park,Allium tricoccum,Ramps,Vascular Plant,104,Allium,Species of Concern
163,Bryce National Park,Allium validum,Pacific Onion,Vascular Plant,117,Allium,Species of Concern
164,Bryce National Park,Allium vineale,Field Garlic,Vascular Plant,78,Allium,Species of Concern
165,Bryce National Park,Allium yosemitense,Yosemite Onion,Vascular Plant,98,Allium,
166,Bryce National Park,Allophyllum divaricatum,Purple False Gilyflower,Vascular Plant,83,Allophyllum,
167,Bryce National Park,Allophyllum gilioides ssp. gilioides,Dense False Gilia,Vascular Plant,55,Allophyllum,
168,Bryce National Park,Allophyllum gilioides ssp. violaceum,Dense False Gilia,Vascular Plant,127,Allophyllum,
169,Bryce National Park,Allophyllum integrifolium,Mountain False Gilia,Vascular Plant,114,Allophyllum,
170,Bryce National Park,Allotropa virgata,Sugarstick,Vascular Plant,94,Allotropa,
171,Bryce National Park,Alnus incana ssp. tenuifolia,Mountain Alder,Vascular Plant,115,Alnus,
172,Bryce National Park,Alnus rhombifolia,Rhombie Leaf Alder,Vascular Plant,106,Alnus,Species of Concern
173,Bryce National Park,Alnus serrulata,Brook-Side Alder,Vascular Plant,81,Alnus,Endangered
174,Bryce National Park,Alopecurus aequalis,Short Foxtail,Vascular Plant,73,Alopecurus,
175,Bryce National Park,Alopecurus arundinaceus,Creeping Foxtail,Vascular Plant,76,Alopecurus,
176,Bryce National Park,Alopecurus borealis,Boreal Alopecurus,Vascular Plant,94,Alopecurus,
177,Bryce National Park,Alopecurus carolinianus,Carolina Foxtail,Vascular Plant,140,Alopecurus,
178,Bryce National Park,Alopecurus pratensis,Field Meadow-Foxtail,Vascular Plant,130,Alopecurus,Species of Concern
179,Bryce National Park,Alyssum alyssoides,Pale Alyssum,Vascular Plant,86,Alyssum,
180,Bryce National Park,Alyssum desertorum,Desert Alyssum,Vascular Plant,106,Alyssum,
181,Bryce National Park,Amaranthus albus,Pigweed,Vascular Plant,268,Amaranthus,
182,Bryce National Park,Amaranthus albus,White Amaranthus,Vascular Plant,268,Amaranthus,
183,Bryce National Park,Amaranthus blitoides,Mat Amaranth,Vascular Plant,98,Amaranthus,
184,Bryce National Park,Amaranthus californicus,California Amaranth,Vascular Plant,82,Amaranthus,
185,Bryce National Park,Amaranthus hybridus,Amaranthus,Vascular Plant,128,Amaranthus,Species of Concern
186,Bryce National Park,Amaranthus retroflexus,Careless Weed,Vascular Plant,181,Amaranthus,
187,Bryce National Park,Amaranthus retroflexus,Green Amaranthus,Vascular Plant,181,Amaranthus,
188,Bryce National Park,Amaranthus spinosus,Spiny Amaranth,Vascular Plant,93,Amaranthus,
189,Bryce National Park,Ambloplites rupestris,Rock Bass,Fish,95,Ambloplites,Species of Concern
190,Bryce National Park,Amblystegium serpens,Amblystegium Moss,Nonvascular Plant,112,Amblystegium,
191,Bryce National Park,Amblystegium varium,Amblystegium Moss,Nonvascular Plant,74,Amblystegium,Species of Concern
192,Bryce National Park,Ambrosia artemisiifolia,Annual Ragweed,Vascular Plant,129,Ambrosia,
193,Bryce National Park,Ambrosia artemisiifolia,Annual Ragweed,Vascular Plant,129,Ambrosia,
194,Bryce National Park,Ambrosia bidentata,Lanceleaf Ragweed,Vascular Plant,108,Ambrosia,
195,Bryce National Park,Ambrosia psilostachya,Cuman Ragweed,Vascular Plant,90,Ambrosia,
196,Bryce National Park,Ambrosia trifida,Giant Ragweed,Vascular Plant,91,Ambrosia,Species of Concern
197,Bryce National Park,Ambystoma maculatum,Spotted Salamander,Amphibian,92,Ambystoma,
198,Bryce National Park,Ambystoma mavortium melanostictum,Blotched Tiger Salamander,Amphibian,84,Ambystoma,
199,Bryce National Park,Ambystoma opacum,Marbled Salamander,Amphibian,115,Ambystoma,Species of Concern
200,Bryce National Park,Ambystoma talpoideum,Mole Salamander,Amphibian,105,Ambystoma,
201,Bryce National Park,Ameiurus melas,Black Bullhead,Fish,100,Ameiurus,
202,Bryce National Park,Ameiurus natalis,Yellow Bullhead,Fish,105,Ameiurus,
203,Bryce National Park,Amelanchier alnifolia var. alnifolia,Saskatoon Serviceberry,Vascular Plant,136,Amelanchier,Species of Concern
204,Bryce National Park,Amelanchier alnifolia var. pumila,Dwarf Serviceberry,Vascular Plant,130,Amelanchier,
205,Bryce National Park,Amelanchier arborea,Downy Serviceberry,Vascular Plant,87,Amelanchier,
206,Bryce National Park,Amelanchier canadensis,Canadian Serviceberry,Vascular Plant,71,Amelanchier,
207,Bryce National Park,Amelanchier laevis,Allegheny Serviceberry,Vascular Plant,96,Amelanchier,
208,Bryce National Park,Amelanchier sanguinea,Roundleaf Shadbush,Vascular Plant,113,Amelanchier,
209,Bryce National Park,Amelanchier utahensis,Utah Serviceberry,Vascular Plant,111,Amelanchier,
210,Bryce National Park,Amianthium muscitoxicum,Fly Poison,Vascular Plant,121,Amianthium,
211,Bryce National Park,Ammannia coccinea,Ammannia,Vascular Plant,81,Ammannia,
212,Bryce National Park,Ammodramus henslowii,Henslow's Sparrow,Bird,102,Ammodramus,
213,Bryce National Park,Ammodramus leconteii,Le Conte's Sparrow,Bird,81,Ammodramus,
214,Bryce National Park,Ammodramus savannarum,Grasshopper Sparrow,Bird,97,Ammodramus,
215,Bryce National Park,Ammoselinum butleri,Butler's Sandparsley,Vascular Plant,112,Ammoselinum,
216,Bryce National Park,Amorpha fruticosa,False Indigo,Vascular Plant,126,Amorpha,
217,Bryce National Park,Amorpha georgiana,Georgia Leadplant,Vascular Plant,116,Amorpha,
218,Bryce National Park,Amorpha glabra,Smooth False Indigo,Vascular Plant,98,Amorpha,
219,Bryce National Park,Ampelopsis arborea,Peppervine,Vascular Plant,88,Ampelopsis,
220,Bryce National Park,Ampelopsis cordata,Peppervine,Vascular Plant,110,Ampelopsis,
221,Bryce National Park,Amphicarpaea bracteata,American Hog-Peanut,Vascular Plant,156,Amphicarpaea,Species of Concern
222,Bryce National Park,Amphidium mougeotii,Mougeot's Amphidium Moss,Nonvascular Plant,74,Amphidium,
223,Bryce National Park,Amphispiza bilineata,Black-Throated Sparrow,Bird,89,Amphispiza,
224,Bryce National Park,Amsinckia lycopsoides,Bugloss Fiddleneck,Vascular Plant,92,Amsinckia,
225,Bryce National Park,Amsinckia menziesii,Menzies' Fiddleneck,Vascular Plant,121,Amsinckia,Species of Concern
226,Bryce National Park,Amsinckia menziesii var. intermedia,Coast Buckthorn,Vascular Plant,125,Amsinckia,Species of Concern
227,Bryce National Park,Amsinckia menziesii var. menziesii,Menzies' Fiddleneck,Vascular Plant,87,Amsinckia,
228,Bryce National Park,Amsonia tabernaemontana var. tabernaemontana,Eastern Bluestar,Vascular Plant,91,Amsonia,Species of Concern
229,Bryce National Park,Anacamptodon splachnoides,Anacamptodon Moss,Nonvascular Plant,126,Anacamptodon,
230,Bryce National Park,Anagallis arvensis,Pimpernel,Vascular Plant,214,Anagallis,
231,Bryce National Park,Anagallis arvensis,Scarlet Pimpernel,Vascular Plant,214,Anagallis,
232,Bryce National Park,Anagallis minima,Chaffweed,Vascular Plant,118,Anagallis,
233,Bryce National Park,Anaphalis margaritacea,Common Pearlyeverlasting,Vascular Plant,134,Anaphalis,
234,Bryce National Park,Anas acuta,Northern Pintail,Bird,86,Anas,
235,Bryce National Park,Anas americana,American Wigeon,Bird,88,Anas,
236,Bryce National Park,Anas clypeata,Northern Shoveler,Bird,91,Anas,
237,Bryce National Park,Anas crecca,Green-Winged Teal,Bird,72,Anas,
238,Bryce National Park,Anas cyanoptera,Cinnamon Teal,Bird,94,Anas,Species of Concern
239,Bryce National Park,Anas discors,Blue-Winged Teal,Bird,107,Anas,
240,Bryce National Park,Anas penelope,Eurasian Wigeon,Bird,74,Anas,
241,Bryce National Park,Anas platyrhynchos,Mallard,Bird,103,Anas,
242,Bryce National Park,Anas rubripes,American Black Duck,Bird,87,Anas,
243,Bryce National Park,Anas strepera,Gadwall,Bird,139,Anas,
244,Bryce National Park,Anastrophyllum helleranum,Heller's Anastrophyllum,Nonvascular Plant,115,Anastrophyllum,
245,Bryce National Park,Anastrophyllum michauxii,Michaux's Anastrophyllum,Nonvascular Plant,93,Anastrophyllum,
246,Bryce National Park,Anastrophyllum minutum,Anastrophyllum,Nonvascular Plant,112,Anastrophyllum,
247,Bryce National Park,Anastrophyllum saxicola,Anastrophyllum,Nonvascular Plant,86,Anastrophyllum,
248,Bryce National Park,Anaxyrus boreas boreas,Boreal Toad,Amphibian,66,Anaxyrus,
249,Bryce National Park,Anaxyrus boreas halophilus,California Toad (Western Toad),Amphibian,115,Anaxyrus,
250,Bryce National Park,Anaxyrus canorus,Yosemite Toad,Amphibian,43,Anaxyrus,
251,Bryce National Park,Andreaea rothii,Roth's Andreaea Moss,Nonvascular Plant,93,Andreaea,
252,Bryce National Park,Andreaea rupestris,Andreaea Moss,Nonvascular Plant,96,Andreaea,
253,Bryce National Park,Andropogon gerardii,Big Bluestem,Vascular Plant,126,Andropogon,
254,Bryce National Park,Andropogon glomeratus,Bushy Bluestem,Vascular Plant,65,Andropogon,
255,Bryce National Park,Andropogon gyrans var. gyrans,Elliott Bluestem,Vascular Plant,111,Andropogon,
256,Bryce National Park,Andropogon ternarius,Silver Bluestem,Vascular Plant,103,Andropogon,
257,Bryce National Park,Andropogon virginicus,Broom-Sedge,Vascular Plant,52,Andropogon,
258,Bryce National Park,Andropogon virginicus var. virginicus,Broomsedge,Vascular Plant,44,Andropogon,
259,Bryce National Park,Androsace filiformis,Filiform Rockjasmine,Vascular Plant,116,Androsace,
260,Bryce National Park,Androsace occidentalis,Western Rockjasmine,Vascular Plant,77,Androsace,
261,Bryce National Park,Androsace septentrionalis ssp. subumbellata,Pygmyflower Rockjasmine,Vascular Plant,122,Androsace,
262,Bryce National Park,Aneides lugubris,Arboreal Salamander,Amphibian,99,Aneides,
263,Bryce National Park,Anelsonia eurycarpa,Broad Pod Anelsonia,Vascular Plant,113,Anelsonia,
264,Bryce National Park,Anemone drummondii,Drummond's Anemone,Vascular Plant,81,Anemone,Species of Concern
265,Bryce National Park,Anemone lancifolia,Lance-Leaved Wood Anemone,Vascular Plant,52,Anemone,
266,Bryce National Park,Anemone occidentalis,White Pasqueflower,Vascular Plant,90,Anemone,
267,Bryce National Park,Anemone parviflora,Smallflowered Anemone,Vascular Plant,110,Anemone,
268,Bryce National Park,Anemone patens var. multifida,Cutleaf Anemone,Vascular Plant,118,Anemone,
269,Bryce National Park,Anemone quinquefolia,Wood Anemone,Vascular Plant,85,Anemone,
270,Bryce National Park,Anemone tetonensis,Teton Anemone,Vascular Plant,125,Anemone,
271,Bryce National Park,Anemone virginiana,Thimbleweed,Vascular Plant,96,Anemone,
272,Bryce National Park,Aneura pinguis,Aneura,Nonvascular Plant,126,Aneura,
273,Bryce National Park,Angelica arguta,Angelica,Vascular Plant,120,Angelica,
274,Bryce National Park,Angelica atropurpurea,Purplestem Angelica,Vascular Plant,101,Angelica,
275,Bryce National Park,Angelica breweri,Brewer's Angelica,Vascular Plant,84,Angelica,
276,Bryce National Park,Angelica lineariloba,Poison Angelica,Vascular Plant,117,Angelica,Endangered
277,Bryce National Park,Angelica pinnata,Smallleaf Angelica,Vascular Plant,109,Angelica,
278,Bryce National Park,Angelica roseana,Rose Angelica,Vascular Plant,109,Angelica,
279,Bryce National Park,Angelica triquinata,Filmy Angelica,Vascular Plant,84,Angelica,
280,Bryce National Park,Angelica venenosa,Hairy Angelica,Vascular Plant,97,Angelica,
281,Bryce National Park,Anoectangium aestivum,Anoectangium Moss,Nonvascular Plant,134,Anoectangium,
282,Bryce National Park,Anolis carolinensis carolinensis,Northern Green Anole,Reptile,111,Anolis,
283,Bryce National Park,Anomobryum filiforme,Filiform Anomobryum Moss,Nonvascular Plant,116,Anomobryum,
284,Bryce National Park,Anomodon attenuatus,Anomodon Moss,Nonvascular Plant,133,Anomodon,Species of Concern
285,Bryce National Park,Anomodon minor,Anomodon Moss,Nonvascular Plant,63,Anomodon,
286,Bryce National Park,Anomodon rostratus,Anomodon Moss,Nonvascular Plant,113,Anomodon,
287,Bryce National Park,Anomodon rugelii,Rugel's Anomodon Moss,Nonvascular Plant,95,Anomodon,Species of Concern
288,Bryce National Park,Anomodon viticulosus,Anomodon Moss,Nonvascular Plant,110,Anomodon,
289,Bryce National Park,Anser albifrons,Greater White-Fronted Goose,Bird,83,Anser,
290,Bryce National Park,Antennaria anaphaloides,Pearly Pussytoes,Vascular Plant,122,Antennaria,
